订单ID,门店城市,购买渠道,性别,年龄,购买日期,商品编号,收益总额,订单量,商品量
52887,北/京,线下,女,29,2020-09-25,No.277,79,1,1
15082,深圳,线下,女,36,2020-09-24,No.902,81,1,1
37777,武汉,线下,女,30,2020-09-25,No.277,214,3,3
30367,武汉,线上,男,63,2020-09-21,No.906,182,2,5
16702,武汉,线下,女,22,2020-09-26,No.277,58,1,1
24127,上海,线下,女,43,2020-09-25,No.343,120,2,2
15055,南京 ,线上,女,48,2020-09-24,No.005,79,1,1
54133,南京 ,线上,女,17,2020-09-25,No.005,100,1,1
33790,上海,线下,女,33,2020-09-26,No.305,178,2,2
21886,北/京,线下,男,34,2020-09-26,No.343,26,1,1
18286,杭州,线下,女,24,2020-09-27,No.005,60,1,1
29454,武汉,线上,男,28,2020-09-24,No.305,503,8,13
27558,北 京,线下,男,64,2020-09-21,No.005,99,1,1
37125,北京,线下,男,65,2020-09-24,No.343,159,1,6
45938,深圳,线下,女,35,2020-09-26,No.906,41,1,1
30986,北/京,线下,男,19,2020-09-25,No.343,20,1,1
46268,北 京,线上,男,29,2020-09-27,No.005,99,1,1
20572,深圳,线下,女,30,2020-09-24,No.343,19,1,1
13519,上海,线下,女,23,2020-09-25,No.902,357,5,5
11907,杭州,线下,男,28,2020-09-26,No.005,79,1,1
42709,南京,线下,女,36,2020-09-26,No.005,81,1,1
20578,杭州,线下,女,48,2020-09-24,No.005,79,1,1
47217,武汉,线上,女,32,2020-09-26,No.005,81,1,1
14998,武汉,线上,女,36,2020-09-23,No.782,59,1,1
44664,杭州,线下,女,53,2020-09-26,No.782,80,1,1
24688,北/京,线下,男,28,2020-09-26,No.005,201,1,2
14334,&nbsp南京,线下,女,17,2020-09-23,No.005,59,1,1
26369,南京,线下,女,22,2020-09-26,No.005,358,2,2
13758,杭州,线下,男,34,2020-09-21,No.343,81,1,1
39333,武汉,线下,女,55,2020-09-26,No.277,79,1,1
51516,杭州,线下,男,27,2020-09-25,No.005,101,1,1
29290,&nbsp南京,线下,男,23,2020-09-22,No.005,101,1,1
51180,南京 ,线上,男,37,2020-09-26,No.005,59,1,1
28936,深圳,线下,女,30,2020-09-22,No.173,1189,6,6
52776,武汉,线下,男,37,2020-09-27,No.005,59,1,1
15387,武汉,线上,男,26,2020-09-24,No.005,98,1,1
35817,上海,线下,女,56,2020-09-24,No.173,99,1,1
35089,南京,线下,女,34,2020-09-26,No.782,60,1,1
20598,杭州,线下,男,61,2020-09-23,No.902,239,3,3
27717,深圳,线下,女,32,2020-09-24,No.305,80,2,2
50316,杭州,线下,女,25,2020-09-24,No.005,81,1,1
10555,武汉,线上,男,33,2020-09-26,No.005,99,1,1
38165,杭州,线下,男,25,2020-09-26,No.005,199,2,2
50374,深圳,线下,女,28,2020-09-26,No.902,60,1,1
48480,南京 ,线下,女,20,2020-09-24,No.902,739,10,11
10634,&nbsp南京,线上,男,67,2020-09-25,No.305,118,3,3
29003,&nbsp南京,线下,男,49,2020-09-22,No.343,20,1,1
44824,北/京,线下,男,25,2020-09-24,No.005,100,1,1
11299,上海,线上,女,38,2020-09-26,No.782,59,1,1
12597,武汉,线下,女,29,2020-09-21,No.005,403,3,4
36878,武汉,线下,女,27,2020-09-23,No.005,302,3,3
17934,武汉,线下,女,23,2020-09-24,No.005,80,1,1
20238,武汉,线下,男,20,2020-09-24,No.005,101,1,1
39626,杭州,线下,女,35,2020-09-26,No.005,161,2,2
42125,深圳,线下,男,50,2020-09-26,No.005,101,1,1
25780,杭州,线下,男,21,2020-09-24,No.343,60,1,3
23444,武汉,线下,女,39,2020-09-25,No.005,60,1,1
34453,北/京,线下,男,31,2020-09-25,No.005,99,1,1
19191,深圳,线下,女,26,2020-09-23,No.782,99,2,2
19486,深圳,线下,女,39,2020-09-25,No.005,101,1,1
45240,武汉,线下,女,39,2020-09-21,No.782,79,1,1
24190,南京 ,线上,女,40,2020-09-25,No.005,204,1,1
53295,武汉,线上,女,26,2020-09-25,No.173,963,5,5
19351,南京 ,线上,女,29,2020-09-22,No.577,354,2,2
46347,北 京,线下,女,38,2020-09-24,No.005,99,1,1
50602,深圳,线下,男,63,2020-09-23,No.005,302,2,3
41019,北/京,线下,男,36,2020-09-27,No.005,101,1,1
30270,深圳,线下,女,22,2020-09-22,No.173,101,1,1
29725,北 京,线下,女,68,2020-09-24,No.173,150,1,1
47742,南京,线下,女,43,2020-09-27,No.005,244,3,3
39785,南京 ,线上,男,43,2020-09-22,No.005,57,1,1
15485,北 京,线下,男,29,2020-09-26,No.005,79,1,1
10119,武汉,线上,女,30,2020-09-22,No.277,60,1,1
28208,杭州,线下,女,27,2020-09-26,No.005,159,2,2
10868,武汉,线下,女,27,2020-09-25,No.005,81,1,1
13141,南京 ,线上,女,32,2020-09-25,No.343,162,2,2
10080,北 京,线下,女,44,2020-09-26,No.577,130,1,1
22153,北/京,线下,男,62,2020-09-24,No.005,101,1,1
28952,上海,线下,女,18,2020-09-27,No.277,198,1,2
11910,武汉,线上,女,44,2020-09-22,No.782,39,1,1
13215,武汉,线下,女,28,2020-09-24,No.005,99,1,1
23517,武汉,线上,女,39,2020-09-22,No.277,29,1,1
41122,北京,线下,女,39,2020-09-25,No.005,200,1,1
34856,武汉,线下,男,23,2020-09-27,No.343,81,1,3
37141,上海,线下,女,40,2020-09-22,No.005,496,4,4
24075,深圳,线下,女,55,2020-09-26,No.005,99,1,1
45945,上海,线下,男,31,2020-09-23,No.277,984,5,5
33471,武汉,线下,男,28,2020-09-27,No.005,79,1,1
33256,北 京,线下,女,29,2020-09-24,No.005,201,2,2
53530,深圳,线下,女,17,2020-09-22,No.005,74,1,1
24457,上海,线下,男,63,2020-09-21,No.277,150,1,1
23643,深圳,线下,女,23,2020-09-27,No.782,200,1,1
48190,北/京,线下,女,38,2020-09-26,No.277,55,1,1
51960,深圳,线下,男,46,2020-09-25,No.902,150,1,1
45780,北/京,线下,女,34,2020-09-22,No.343,40,1,2
12156,深圳,线下,男,27,2020-09-23,No.005,299,2,3
35463,上海,线下,女,31,2020-09-26,No.277,74,2,2
22238,北 京,线下,女,31,2020-09-26,No.782,60,1,1
25198,上海,线下,女,23,2020-09-25,No.005,99,1,1
49109,杭州,线下,男,39,2020-09-24,No.005,214,3,4
17459,南京,线下,女,34,2020-09-25,No.005,38,1,1
43759,武汉,线上,女,40,2020-09-24,No.005,161,2,2
11053,南京 ,线上,男,42,2020-09-26,No.005,101,1,1
47291,杭州,线下,女,34,2020-09-22,No.343,27,1,1
22563,北/京,线下,女,23,2020-09-26,No.005,59,1,1
31099,上海,线下,女,54,2020-09-26,No.305,78,1,2
16638,深圳,线下,女,40,2020-09-22,No.005,60,1,1
25207,北 京,线下,女,34,2020-09-25,No.005,99,1,1
32111,武汉,线下,女,44,2020-09-21,No.173,204,1,1
22146,深圳,线下,女,24,2020-09-26,No.902,71,1,1
50416,上海,线上,男,29,2020-09-26,No.906,433,9,12
33018,武汉,线下,女,35,2020-09-26,No.005,671,5,5
29792,深圳,线下,女,34,2020-09-26,No.906,81,2,2
47292,&nbsp南京,线下,女,58,2020-09-26,No.343,79,1,1
37670,南京,线下,男,37,2020-09-24,No.343,39,1,1
15015,南京 ,线上,男,31,2020-09-27,No.305,80,2,2
44017,&nbsp南京,线下,女,26,2020-09-22,No.173,151,1,1
47826,武汉,线下,男,37,2020-09-21,No.902,81,1,1
11006,上海,线下,女,26,2020-09-22,No.277,191,3,3
28843,杭州,线下,男,43,2020-09-25,No.343,27,1,1
22333,深圳,线下,女,33,2020-09-24,No.577,151,1,1
40506,深圳,线下,女,27,2020-09-21,No.005,81,1,1
14983,深圳,线下,女,22,2020-09-26,No.005,159,2,2
37735,上海,线上,女,34,2020-09-23,No.577,100,1,1
39950,深圳,线下,女,30,2020-09-27,No.305,39,1,1
41824,北 京,线下,女,51,2020-09-22,No.005,99,1,1
22446,&nbsp南京,线下,女,22,2020-09-26,No.902,319,4,4
25943,南京 ,线上,女,38,2020-09-25,No.173,1004,3,5
29540,南京 ,线上,女,22,2020-09-26,No.577,151,1,1
36500,武汉,线下,女,33,2020-09-25,No.343,27,1,1
42449,杭州,线下,男,28,2020-09-22,No.902,270,3,3
16348,杭州,线下,男,39,2020-09-22,No.005,399,4,4
35449,上海,线下,女,32,2020-09-24,No.902,80,1,1
50363,杭州,线下,女,37,2020-09-24,No.782,40,1,1
23735,上海,线下,女,29,2020-09-25,No.343,80,1,1
10001,武汉,线上,女,47,2020-09-26,No.005,101,1,1
13447,北 京,线下,女,31,2020-09-25,No.005,300,2,2
37530,北/京,线下,女,20,2020-09-25,No.005,100,1,1
47936,北 京,线下,女,32,2020-09-25,No.005,80,1,1
42400,北 京,线下,女,62,2020-09-26,No.277,101,1,1
31902,杭州,线下,女,32,2020-09-22,No.005,60,1,1
53900,南京,线下,女,43,2020-09-22,No.005,162,2,2
42313,杭州,线下,女,45,2020-09-23,No.782,59,1,1
54429,杭州,线下,女,22,2020-09-24,No.005,80,1,1
18238,&nbsp南京,线下,女,18,2020-09-25,No.173,351,2,2
24663,上海,线下,男,32,2020-09-25,No.005,200,2,2
33916,杭州,线下,女,39,2020-09-25,No.277,138,2,2
23338,深圳,线下,男,39,2020-09-26,No.577,151,1,1
17848,武汉,线下,男,21,2020-09-27,No.005,79,1,1
52267,上海,线下,男,44,2020-09-21,No.305,39,1,1
39928,深圳,线下,女,63,2020-09-23,No.005,79,1,1
38619,杭州,线下,女,35,2020-09-25,No.782,557,3,3
13989,上海,线下,男,35,2020-09-26,No.277,81,1,1
12862,北京,线下,女,33,2020-09-25,No.577,409,2,2
35622,武汉,线下,女,30,2020-09-27,No.005,138,3,3
42624,深圳,线下,男,26,2020-09-26,No.277,80,1,1
10820,武汉,线上,男,20,2020-09-23,No.277,57,1,1
21139,深圳,线下,男,30,2020-09-27,No.906,60,1,1
45483,北 京,线下,女,44,2020-09-25,No.005,36,1,1
22684,南京 ,线上,女,20,2020-09-22,No.902,366,4,4
36511,上海,线上,女,22,2020-09-21,No.782,159,2,2
28918,南京 ,线上,女,33,2020-09-23,No.902,202,1,1
52375,上海,线下,女,35,2020-09-26,No.005,60,1,1
16592,武汉,线上,男,27,2020-09-24,No.005,79,1,1
36318,南京,线下,女,41,2020-09-24,No.005,81,1,1
25463,武汉,线下,男,34,2020-09-25,No.902,101,1,1
19933,北 京,线下,男,27,2020-09-26,No.005,80,1,1
24200,南京 ,线上,女,27,2020-09-26,No.906,74,2,2
27115,武汉,线下,女,22,2020-09-22,No.782,19,1,1
15563,武汉,线下,男,24,2020-09-24,No.343,26,1,1
23219,上海,线上,女,45,2020-09-27,No.005,201,2,2
35837,深圳,线下,女,52,2020-09-22,No.173,202,1,1
51850,南京 ,线上,男,28,2020-09-26,No.906,40,1,1
31345,深圳,线下,女,16,2020-09-22,No.305,28,1,1
12015,武汉,线上,男,32,2020-09-26,No.902,60,1,1
25352,北京,线下,男,20,2020-09-24,No.277,271,4,4
41959,武汉,线下,男,38,2020-09-23,No.005,100,1,1
50856,上海,线下,女,21,2020-09-23,No.005,81,1,1
35965,上海,线上,女,26,2020-09-26,No.005,203,2,2
17685,杭州,线下,女,33,2020-09-24,No.005,262,3,3
48646,武汉,线上,男,22,2020-09-26,No.343,101,3,5
21526,北/京,线下,女,31,2020-09-27,No.277,126,1,7
21485,南京 ,线上,女,32,2020-09-26,No.782,79,1,1
18649,南京 ,线下,女,27,2020-09-25,No.343,123,3,5
25522,深圳,线下,男,66,2020-09-27,No.005,101,1,1
31634,武汉,线上,女,38,2020-09-25,No.277,237,2,3
26902,杭州,线下,男,62,2020-09-26,No.343,88,2,4
34572,杭州,线下,女,23,2020-09-25,No.005,100,1,1
48511,深圳,线下,女,35,2020-09-21,No.005,77,1,1
40301,武汉,线下,男,37,2020-09-26,No.277,190,1,1
29719,杭州,线下,女,21,2020-09-25,No.005,178,2,3
32715,&nbsp南京,线下,女,45,2020-09-21,No.005,203,1,2
25647,北 京,线下,女,34,2020-09-25,No.173,151,1,1
12333,南京,线下,女,20,2020-09-21,No.005,180,2,2
24978,深圳,线下,男,23,2020-09-27,No.005,201,1,2
15132,上海,线下,男,44,2020-09-24,No.005,99,1,1
45136,深圳,线下,女,38,2020-09-26,No.005,153,1,1
48591,深圳,线下,男,44,2020-09-27,No.277,60,1,1
27133,上海,线下,女,24,2020-09-24,No.005,57,1,1
41055,上海,线下,女,25,2020-09-27,No.782,1638,8,9
47340,武汉,线下,男,67,2020-09-27,No.005,99,1,1
40931,武汉,线下,女,24,2020-09-25,No.005,244,3,3
41016,杭州,线下,男,34,2020-09-23,No.343,80,1,1
25477,北 京,线下,女,30,2020-09-23,No.902,399,3,4
54540,杭州,线下,男,66,2020-09-26,No.277,429,3,3
41871,杭州,线下,女,41,2020-09-24,No.782,80,1,1
18227,上海,线下,女,31,2020-09-25,No.305,559,6,7
47986,南京 ,线上,男,52,2020-09-27,No.343,25,1,1
16928,深圳,线下,女,24,2020-09-25,No.005,59,1,1
13733,南京 ,线上,女,29,2020-09-24,No.173,251,1,1
27452,深圳,线下,女,45,2020-09-26,No.343,81,1,1
49851,杭州,线下,男,28,2020-09-24,No.343,27,1,1
10901,武汉,线下,女,40,2020-09-25,No.005,99,1,1
44055,深圳,线下,男,29,2020-09-26,No.005,39,1,1
27592,北 京,线下,男,30,2020-09-22,No.277,49,1,1
53981,南京 ,线下,女,38,2020-09-27,No.005,80,1,1
43442,&nbsp南京,线下,女,28,2020-09-23,No.577,100,1,1
22651,深圳,线下,女,35,2020-09-23,No.005,135,3,4
43902,武汉,线下,男,40,2020-09-26,No.343,39,1,1
44860,杭州,线下,女,39,2020-09-26,No.005,162,2,2
47704,杭州,线下,女,45,2020-09-25,No.902,161,2,2
13306,杭州,线下,男,29,2020-09-21,No.906,40,1,1
26221,杭州,线下,女,40,2020-09-23,No.305,59,1,1
46705,杭州,线下,男,31,2020-09-27,No.343,65,2,3
23655,武汉,线上,女,26,2020-09-26,No.005,79,1,1
26065,深圳,线下,女,50,2020-09-27,No.005,200,1,1
23489,上海,线下,女,59,2020-09-24,No.005,60,1,1
16286,深圳,线下,男,45,2020-09-24,No.173,100,1,1
37982,北/京,线下,女,23,2020-09-26,No.005,79,1,1
41542,杭州,线下,女,34,2020-09-25,No.343,53,1,2
12989,武汉,线下,男,37,2020-09-24,No.343,107,3,4
22135,上海,线上,男,40,2020-09-26,No.005,79,1,1
14712,杭州,线下,男,57,2020-09-22,No.343,20,1,1
40407,深圳,线下,男,20,2020-09-23,No.277,80,1,1
31148,武汉,线下,男,21,2020-09-24,No.277,101,1,1
32099,北/京,线下,男,33,2020-09-27,No.906,74,2,2
19757,杭州,线下,女,24,2020-09-27,No.005,80,1,1
16903,&nbsp南京,线下,男,26,2020-09-27,No.005,99,1,1
11331,南京 ,线下,男,33,2020-09-26,No.305,151,1,1
49965,&nbsp南京,线上,男,58,2020-09-27,No.305,101,1,1
37416,上海,线下,女,34,2020-09-27,No.343,80,1,1
22848,武汉,线下,女,42,2020-09-27,No.005,39,1,1
26838,武汉,线下,女,40,2020-09-25,No.005,59,1,1
23446,上海,线上,女,30,2020-09-24,No.782,158,3,3
30160,深圳,线下,女,42,2020-09-26,No.902,299,3,3
29242,武汉,线上,男,64,2020-09-26,No.343,60,1,3
15473,&nbsp南京,线下,女,58,2020-09-24,No.277,59,1,1
30647,北/京,线下,男,33,2020-09-24,No.902,299,2,3
42962,北 京,线下,男,34,2020-09-23,No.343,41,1,2
23162,北/京,线下,男,28,2020-09-25,No.005,40,1,1
14893,上海,线下,女,26,2020-09-23,No.005,99,1,1
21373,南京 ,线上,女,49,2020-09-23,No.343,19,1,1
10930,南京,线下,女,47,2020-09-22,No.005,81,1,1
44454,武汉,线上,女,24,2020-09-27,No.902,100,1,1
35321,武汉,线上,女,44,2020-09-27,No.005,159,2,2
16145,深圳,线下,男,43,2020-09-25,No.902,60,1,1
20298,武汉,线下,男,20,2020-09-26,No.005,100,1,1
47431,武汉,线上,女,58,2020-09-26,No.902,119,1,2
16486,深圳,线下,女,22,2020-09-26,No.277,3198,20,21
26417,深圳,线下,女,32,2020-09-26,No.005,162,2,2
27913,南京,线下,女,22,2020-09-21,No.005,509,4,5
24223,杭州,线下,女,18,2020-09-26,No.005,100,1,1
45008,武汉,线上,女,52,2020-09-27,No.906,41,1,1
37109,武汉,线上,女,38,2020-09-24,No.277,114,2,2
53491,武汉,线上,女,39,2020-09-26,No.005,98,1,1
48977,武汉,线下,女,20,2020-09-21,No.005,169,2,2
11037,武汉,线上,女,34,2020-09-27,No.005,101,1,1
20277,上海,线上,女,26,2020-09-23,No.902,162,2,2
53921,上海,线下,女,36,2020-09-24,No.906,76,2,2
35496,深圳,线下,男,29,2020-09-23,No.343,85,2,4
48407,南京 ,线上,女,38,2020-09-23,No.277,110,1,2
48479,北 京,线下,女,34,2020-09-26,No.782,150,1,1
28817,深圳,线下,男,40,2020-09-26,No.005,80,1,1
28559,武汉,线上,女,26,2020-09-21,No.005,78,2,2
38278,深圳,线下,女,36,2020-09-21,No.782,40,1,1
22520,深圳,线下,男,25,2020-09-26,No.005,60,1,1
43206,南京 ,线上,女,20,2020-09-22,No.005,231,3,3
41922,南京 ,线上,女,44,2020-09-25,No.005,457,5,5
12740,杭州,线下,女,47,2020-09-22,No.902,101,1,1
13584,杭州,线下,女,20,2020-09-27,No.277,58,1,1
40373,深圳,线下,男,35,2020-09-26,No.305,151,1,1
30735,深圳,线下,女,24,2020-09-26,No.277,388,2,2
47360,武汉,线上,女,22,2020-09-26,No.902,99,1,1
22465,深圳,线下,女,40,2020-09-23,No.305,358,2,2
36102,北/京,线下,女,65,2020-09-22,No.005,40,1,1
17412,南京 ,线上,男,62,2020-09-27,No.343,27,1,1
38241,北 京,线下,男,63,2020-09-25,No.305,114,2,3
27747,上海,线下,男,29,2020-09-21,No.005,203,1,2
23597,深圳,线下,女,34,2020-09-27,No.902,622,7,10
38636,深圳,线下,男,34,2020-09-25,No.277,593,2,3
53819,深圳,线下,女,20,2020-09-26,No.005,99,1,1
24505,北 京,线下,女,40,2020-09-27,No.005,100,1,1
34394,武汉,线上,女,20,2020-09-25,No.902,200,1,1
43526,武汉,线上,女,36,2020-09-25,No.577,153,1,1
32923,上海,线下,女,43,2020-09-26,No.277,204,1,1
12413,深圳,线下,男,33,2020-09-21,No.005,80,1,1
36112,杭州,线下,男,44,2020-09-22,No.173,253,1,1
33778,上海,线上,女,27,2020-09-23,No.305,160,4,4
16462,深圳,线下,女,27,2020-09-27,No.906,40,1,1
14044,上海,线下,女,35,2020-09-27,No.173,101,1,1
48771,北 京,线下,女,35,2020-09-26,No.305,120,3,3
46368,深圳,线下,女,54,2020-09-22,No.005,39,1,1
38921,武汉,线上,男,45,2020-09-23,No.343,26,1,1
34088,深圳,线下,男,37,2020-09-24,No.005,81,1,1
49147,杭州,线下,女,22,2020-09-25,No.343,20,1,1
23369,南京 ,线下,女,40,2020-09-23,No.005,98,2,2
18327,北京,线下,女,23,2020-09-26,No.005,81,1,1
14850,深圳,线下,女,30,2020-09-27,No.782,19,1,1
49906,&nbsp南京,线下,女,30,2020-09-24,No.906,39,1,1
36085,南京 ,线上,女,34,2020-09-24,No.343,27,1,1
36637,&nbsp南京,线下,男,69,2020-09-26,No.277,401,2,2
14020,北/京,线下,男,29,2020-09-27,No.906,40,1,1
47827,北/京,线下,女,39,2020-09-21,No.277,49,1,1
40709,北/京,线下,女,34,2020-09-27,No.173,407,4,4
54397,杭州,线下,女,22,2020-09-26,No.277,79,1,1
44658,深圳,线下,女,36,2020-09-25,No.906,108,2,3
15289,南京 ,线上,女,38,2020-09-23,No.906,41,1,1
37484,&nbsp南京,线下,女,48,2020-09-23,No.902,162,1,2
37979,上海,线下,女,30,2020-09-25,No.005,299,2,3
34036,杭州,线下,女,36,2020-09-21,No.005,400,5,8
32019,武汉,线上,女,25,2020-09-24,No.277,252,4,4
49510,深圳,线下,女,21,2020-09-27,No.902,203,2,2
16098,上海,线上,男,34,2020-09-26,No.782,60,1,1
30670,深圳,线下,女,20,2020-09-26,No.005,71,1,1
13664,北/京,线下,男,25,2020-09-26,No.343,80,1,1
35329,北/京,线下,女,30,2020-09-23,No.005,119,2,2
45820,深圳,线下,男,23,2020-09-23,No.277,200,1,1
24199,北 京,线下,女,30,2020-09-26,No.005,403,2,4
40254,北/京,线下,男,51,2020-09-23,No.277,141,1,1
11880,深圳,线下,女,50,2020-09-22,No.906,33,1,1
12556,深圳,线下,男,60,2020-09-27,No.782,202,1,1
47659,武汉,线上,女,28,2020-09-23,No.277,820,8,8
22686,武汉,线下,女,39,2020-09-27,No.005,159,2,2
27725,杭州,线下,女,34,2020-09-26,No.906,39,1,1
54522,南京 ,线上,男,65,2020-09-23,No.343,107,2,4
12205,武汉,线上,女,42,2020-09-24,No.906,41,1,1
38933,北 京,线下,男,61,2020-09-27,No.906,33,1,1
14628,杭州,线下,女,31,2020-09-27,No.005,80,1,1
26819,深圳,线下,女,24,2020-09-24,No.343,239,2,3
49268,北京,线下,女,29,2020-09-21,No.906,79,2,2
32815,南京,线下,男,64,2020-09-25,No.277,79,1,1
43865,南京 ,线上,女,48,2020-09-24,No.305,306,2,2
50265,深圳,线下,女,44,2020-09-24,No.906,40,1,1
24483,南京,线下,男,22,2020-09-22,No.277,1950,10,10
23588,&nbsp南京,线下,男,34,2020-09-24,No.005,118,1,2
24039,南京 ,线下,男,26,2020-09-25,No.902,547,3,3
47055,南京 ,线上,女,29,2020-09-22,No.277,79,1,1
34803,北 京,线下,女,33,2020-09-27,No.005,60,1,1
39603,武汉,线下,男,24,2020-09-26,No.005,159,2,2
44850,杭州,线下,女,53,2020-09-26,No.902,398,1,5
41096,深圳,线下,女,29,2020-09-22,No.906,33,1,1
47783,武汉,线下,男,44,2020-09-24,No.005,60,1,1
32301,深圳,线下,女,34,2020-09-25,No.005,79,1,1
14950,南京,线下,男,18,2020-09-26,No.173,196,1,1
36551,北/京,线下,女,25,2020-09-26,No.005,179,2,2
13129,深圳,线下,男,22,2020-09-22,No.005,59,1,1
14494,上海,线下,女,42,2020-09-23,No.343,40,1,2
28782,&nbsp南京,线下,女,37,2020-09-27,No.005,121,2,2
41751,深圳,线下,男,43,2020-09-26,No.005,80,1,1
53864,杭州,线下,女,37,2020-09-26,No.005,60,1,1
41360,杭州,线下,男,26,2020-09-26,No.005,81,1,1
31105,武汉,线上,女,35,2020-09-22,No.277,56,1,1
50449,北 京,线下,女,27,2020-09-25,No.005,159,2,2
29615,北 京,线上,女,21,2020-09-26,No.005,100,1,1
49353,北/京,线下,女,44,2020-09-25,No.577,60,1,1
35741,南京 ,线上,男,19,2020-09-26,No.005,71,1,1
32309,杭州,线下,女,22,2020-09-26,No.005,79,1,1
17275,杭州,线下,男,38,2020-09-26,No.782,151,1,1
36893,深圳,线下,女,20,2020-09-24,No.305,118,2,3
20233,北/京,线下,女,26,2020-09-25,No.005,99,2,2
19667,杭州,线下,女,27,2020-09-25,No.005,132,1,1
35646,武汉,线上,男,41,2020-09-26,No.906,41,1,1
44614,上海,线下,女,45,2020-09-25,No.902,58,1,1
26500,杭州,线下,男,39,2020-09-27,No.577,150,1,1
15099,上海,线下,女,25,2020-09-25,No.902,153,1,1
46444,南京,线下,男,39,2020-09-26,No.343,60,1,3
43297,武汉,线下,女,23,2020-09-21,No.906,33,1,1
11366,南京 ,线上,女,27,2020-09-24,No.902,460,3,3
35683,上海,线下,男,20,2020-09-26,No.343,26,1,1
36540,武汉,线下,女,28,2020-09-26,No.782,59,1,1
39219,杭州,线下,女,60,2020-09-26,No.005,80,1,1
15265,南京 ,线上,男,25,2020-09-25,No.906,33,1,1
34418,武汉,线下,男,38,2020-09-27,No.277,58,1,1
22316,深圳,线下,女,34,2020-09-27,No.005,201,2,2
46616,北 京,线下,女,36,2020-09-26,No.005,121,2,2
14809,杭州,线下,女,28,2020-09-22,No.005,197,2,2
34776,深圳,线下,女,31,2020-09-27,No.005,203,2,2
26706,武汉,线下,男,65,2020-09-23,No.343,39,1,1
30818,南京 ,线下,男,25,2020-09-24,No.005,101,1,1
22265,北京,线下,男,57,2020-09-27,No.005,81,1,1
38141,上海,线下,女,19,2020-09-25,No.005,80,1,1
28643,武汉,线下,女,41,2020-09-26,No.005,100,1,1
26307,南京 ,线下,男,19,2020-09-27,No.005,79,1,2
50217,武汉,线上,男,26,2020-09-22,No.343,45,2,2
30763,上海,线上,女,29,2020-09-27,No.005,81,1,1
48699,上海,线下,女,34,2020-09-22,No.005,264,2,3
41095,深圳,线下,女,52,2020-09-24,No.277,236,1,3
40211,杭州,线下,女,28,2020-09-23,No.173,253,1,1
10668,杭州,线下,女,36,2020-09-26,No.343,80,1,1
10931,杭州,线下,女,29,2020-09-23,No.005,60,1,1
37204,武汉,线下,男,31,2020-09-22,No.005,101,1,1
35812,上海,线上,男,27,2020-09-26,No.906,41,1,1
24264,北/京,线下,男,37,2020-09-26,No.005,80,1,1
22201,深圳,线下,女,39,2020-09-27,No.343,19,1,1
13682,武汉,线上,女,25,2020-09-22,No.173,204,1,1
24109,武汉,线下,男,21,2020-09-22,No.005,99,1,1
44700,武汉,线下,男,48,2020-09-21,No.277,79,1,1
26481,北 京,线下,女,25,2020-09-24,No.577,81,1,1
36007,深圳,线下,女,57,2020-09-27,No.005,198,1,2
29175,上海,线上,女,34,2020-09-22,No.343,19,1,1
14054,深圳,线下,男,19,2020-09-21,No.005,99,1,1
39331,武汉,线下,女,31,2020-09-22,No.277,120,1,2
32189,武汉,线上,女,26,2020-09-23,No.173,202,1,1
50913,杭州,线下,女,20,2020-09-21,No.277,153,1,1
42213,&nbsp南京,线下,女,40,2020-09-22,No.902,182,2,3
23504,武汉,线上,男,27,2020-09-26,No.005,100,1,1
28676,南京 ,线下,男,30,2020-09-23,No.005,60,1,1
21420,南京 ,线上,男,26,2020-09-25,No.005,59,1,1
27971,北/京,线下,男,24,2020-09-26,No.906,40,1,1
34395,武汉,线下,女,24,2020-09-21,No.782,98,2,2
34984,上海,线下,女,16,2020-09-27,No.005,302,2,3
43196,深圳,线下,女,44,2020-09-25,No.277,134,2,2
50636,杭州,线下,女,32,2020-09-26,No.902,426,6,6
15779,&nbsp南京,线下,女,36,2020-09-26,No.173,251,1,1
25713,杭州,线下,男,37,2020-09-26,No.005,60,1,1
14921,杭州,线下,女,30,2020-09-22,No.305,903,5,5
47778,&nbsp南京,线上,男,63,2020-09-22,No.906,38,1,1
13361,杭州,线下,男,21,2020-09-25,No.305,726,13,19
44653,武汉,线下,女,31,2020-09-23,No.782,60,1,1
52946,北 京,线下,男,26,2020-09-26,No.005,79,1,1
39612,北京,线下,男,33,2020-09-26,No.005,59,1,1
37767,北 京,线下,女,57,2020-09-27,No.902,79,1,1
25190,武汉,线下,女,33,2020-09-26,No.782,39,1,1
14784,深圳,线下,男,22,2020-09-24,No.005,162,2,2
42770,深圳,线下,女,33,2020-09-26,No.305,293,3,3
49542,杭州,线下,女,35,2020-09-26,No.005,60,1,1
25916,上海,线下,女,51,2020-09-26,No.005,159,2,2
40473,深圳,线下,女,21,2020-09-27,No.005,59,1,1
18981,深圳,线下,女,36,2020-09-23,No.005,244,2,3
41832,北/京,线下,女,44,2020-09-26,No.782,286,2,2
30080,北 京,线下,男,24,2020-09-25,No.906,41,1,1
10609,&nbsp南京,线下,女,42,2020-09-26,No.005,121,2,2
49098,杭州,线下,男,35,2020-09-25,No.005,81,1,1
25294,武汉,线上,女,49,2020-09-27,No.005,96,1,1
33851,杭州,线下,男,32,2020-09-26,No.277,49,1,1
43940,武汉,线上,女,49,2020-09-24,No.906,41,1,1
51423,北 京,线下,女,25,2020-09-25,No.902,409,2,2
32727,武汉,线下,女,34,2020-09-24,No.343,80,1,1
